Web Name,Itera-Web-Q,Lovable
UrbanConnect,21,8
SiamState Portal,11,7
CivicHub,13,14
LearnNova,8,11
Apex Science Library,9,10
Junior Learning,16,7
ElementModular,14,5
Mix & Bind,9,5
Aura Kitchenware,14,11
Brainy Doodle,16,1
Yum Yum Yummy,14,6
Matcha Heritage,9,0
Legacy Media,13,17
AuraNews,7,6
NeonLogic,7,5
SiamCurrent,19,6
ATech Solutions,10,0
Arbor Coffee & Co.,15,6
VitalityGlobal,19,10
A company,12,0
SyncCenter,19,6
DevPortal,13,12
EliteAccess,9,8
Forger Case File,15,6
Thai Gallery Guide,15,0
CineWave,15,6
Ms Music,13,5
Alice,17,4
Alice Life,11,2
Anya Dev,8,10
