Web Name,Itera-Web-Q,Lovable
UrbanConnect,100,83
SiamState Portal,100,80
CivicHub,98,85
LearnNova,100,83
Apex Science Library,100,83
Junior Learning,100,82
ElementModular,100,85
Mix & Bind,97,82
Aura Kitchenware,98,83
Brainy Doodle,97,80
Yum Yum Yummy,100,82
Matcha Heritage,99,81
Legacy Media,96,82
AuraNews,97,80
NeonLogic,100,83
SiamCurrent,95,75
ATech Solutions,98,85
Arbor Coffee & Co.,100,85
VitalityGlobal,98,77
A company,100,85
SyncCenter,100,85
DevPortal,100,85
EliteAccess,97,83
Forger Case File,98,79
Thai Gallery Guide,98,82
CineWave,97,82
Ms Music,97,85
Alice,100,85
Alice Life,100,83
Anya Dev,100,85
