Web Name,Itera-Web-Q,Lovable
UrbanConnect,9,8
SiamState Portal,1,8
CivicHub,4,9
LearnNova,7,14
Apex Science Library,1,6
Junior Learning,2,4
ElementModular,3,0
Mix & Bind,4,0
Aura Kitchenware,1,0
Brainy Doodle,5,1
Yum Yum Yummy,2,6
Matcha Heritage,2,0
Legacy Media,8,1
AuraNews,0,6
NeonLogic,2,4
SiamCurrent,7,4
ATech Solutions,1,0
Arbor Coffee & Co.,0,2
VitalityGlobal,5,5
A company,0,0
SyncCenter,1,4
DevPortal,5,11
EliteAccess,0,8
Forger Case File,6,0
Thai Gallery Guide,4,1
CineWave,6,6
Ms Music,2,1
Alice,6,4
Alice Life,5,2
Anya Dev,8,10
