Web Name,Pre-Refinement,Post-Refinement
UrbanConnect,100,100
SiamState Portal,100,100
CivicHub,98,98
LearnNova,100,100
Apex Science Library,100,100
Junior Learning,100,100
ElementModular,100,100
Mix & Bind,97,97
Aura Kitchenware,98,98
Brainy Doodle,97,97
Yum Yum Yummy,95,100
Matcha Heritage,97,99
Legacy Media,95,96
AuraNews,98,97
NeonLogic,100,100
SiamCurrent,95,95
ATech Solutions,98,98
Arbor Coffee & Co.,100,100
VitalityGlobal,97,98
A company,98,100
SyncCenter,100,100
DevPortal,100,100
EliteAccess,97,97
Forger Case File,98,98
Thai Gallery Guide,98,98
CineWave,97,97
Ms Music,97,97
Alice,100,100
Alice Life,100,100
Anya Dev,99,100
