Web Name,Pre-Refinement,Post-Refinement
UrbanConnect,21,9
SiamState Portal,11,1
CivicHub,13,4
LearnNova,8,7
Apex Science Library,9,1
Junior Learning,16,2
ElementModular,14,3
Mix & Bind,9,4
Aura Kitchenware,14,1
Brainy Doodle,16,5
Yum Yum Yummy,14,2
Matcha Heritage,9,2
Legacy Media,13,8
AuraNews,7,0
NeonLogic,7,2
SiamCurrent,19,7
ATech Solutions,10,1
Arbor Coffee & Co.,15,0
VitalityGlobal,19,5
A company,12,0
SyncCenter,19,1
DevPortal,13,5
EliteAccess,9,0
Forger Case File,15,6
Thai Gallery Guide,15,4
CineWave,15,6
Ms Music,13,2
Alice,17,6
Alice Life,11,5
Anya Dev,8,8
